
ID_VENTA,FECHA_VENTA,HORA_VENTA,CATEGORIA,NOMBRE_PRODUCTO,PRECIO,TIPO_PAGO,CANTIDAD,TOTAL,ESTADO

1,20260507,02.15.32 Am,Comida Rápida,Hamburguesa Clásica,250,Transferencia Bancaria,2,500,Pagada
2,20260313,09.08.11 Pm,Bebidas Calientes,Café Americano,85,Transferencia Bancaria,2,170,Pagada
3,20260519,03.08.37 Am,Comida Rápida,Porción de Pizza,120,Tarjeta de Crédito/Débito,2,240,Pagada
4,20260424,06.57.03 Pm,Comida Rápida,Hamburguesa Clásica,250,Tarjeta de Crédito/Débito,1,250,Pagada
5,20260316,01.32.54 Am,Comida Rápida,Hamburguesa Clásica,250,Tarjeta de Crédito/Débito,3,750,Pagada
6,20260506,06.43.18 Pm,Desayunos,Empanada de Queso,60,Transferencia Bancaria,2,120,Pagada
7,20260404,09.59.12 Pm,Bebidas Calientes,Café Americano,85,Tarjeta de Crédito/Débito,4,340,Pagada
8,20260308,10.15.58 Am,Postres,Helado Sencillo,90,Transferencia Bancaria,3,270,Pagada
9,20260514,03.40.55 Am,Plato Fuerte,Servicio de Comida China,350,Transferencia Bancaria,4,1400,Pagada
10,20260419,05.39.16 Am,Bebidas Calientes,Café Americano,85,Transferencia Bancaria,1,85,Cancelada
11,20260424,06.30.18 Am,Comida Rápida,Hamburguesa Clásica,250,Tarjeta de Crédito/Débito,2,500,Pagada
12,20260413,09.10.56 Pm,Bebidas Calientes,Café Americano,85,Efectivo,2,170,Pagada
13,20260512,11.12.28 Am,Desayunos,Empanada de Queso,60,Transferencia Bancaria,2,120,Pagada
14,20260427,03.46.30 Am,Desayunos,Empanada de Queso,60,Efectivo,2,120,Pagada
15,20260505,08.42.00 Pm,Bebidas Calientes,Café Americano,85,Efectivo,2,170,Pagada
16,20260413,03.50.44 Am,Desayunos,Empanada de Queso,60,Efectivo,4,240,Pagada
17,20260601,02.10.08 Pm,Desayunos,Empanada de Queso,60,Tarjeta de Crédito/Débito,4,240,Cancelada
18,20260322,12.20.31 Pm,Comida Rápida,Hamburguesa Clásica,250,Tarjeta de Crédito/Débito,1,250,Pagada
19,20260415,11.13.25 Pm,Comida Rápida,Porción de Pizza,120,Tarjeta de Crédito/Débito,2,240,Pagada
20,20260605,07.42.26 Pm,Bebidas Calientes,Café Americano,85,Efectivo,3,255,Pagada
21,20260427,04.22.40 Am,Bebidas Calientes,Café Americano,85,Tarjeta de Crédito/Débito,1,85,Pagada
22,20260514,07.38.40 Am,Bebidas Calientes,Café Americano,85,Tarjeta de Crédito/Débito,3,255,Pagada
23,20260507,06.44.39 Am,Postres,Helado Sencillo,90,Tarjeta de Crédito/Débito,4,360,Pagada
24,20260311,10.11.16 Pm,Postres,Helado Sencillo,90,Efectivo,2,180,Pagada
25,20260502,02.19.26 Pm,Plato Fuerte,Servicio de Comida China,350,Efectivo,2,700,Pagada
26,20260425,11.46.14 Am,Postres,Helado Sencillo,90,Efectivo,2,180,Cancelada
27,20260530,02.10.56 Am,Postres,Helado Sencillo,90,Efectivo,3,270,Pagada
28,20260515,09.31.47 Pm,Desayunos,Empanada de Queso,60,Tarjeta de Crédito/Débito,1,60,Pagada
29,20260325,11.10.13 Pm,Postres,Helado Sencillo,90,Tarjeta de Crédito/Débito,4,360,Pagada
30,20260415,07.39.39 Pm,Postres,Helado Sencillo,90,Transferencia Bancaria,1,90,Pagada
31,20260407,05.12.33 Pm,Postres,Helado Sencillo,90,Efectivo,4,360,Pagada
32,20260321,09.32.57 Am,Comida Rápida,Porción de Pizza,120,Efectivo,3,360,Pagada
33,20260402,04.52.02 Am,Postres,Helado Sencillo,90,Efectivo,1,90,Pagada
34,20260405,04.21.49 Am,Comida Rápida,Hamburguesa Clásica,250,Tarjeta de Crédito/Débito,3,750,Pagada
35,20260330,12.49.53 Am,Desayunos,Empanada de Queso,60,Tarjeta de Crédito/Débito,3,180,Pagada
36,20260312,05.39.37 Pm,Postres,Helado Sencillo,90,Tarjeta de Crédito/Débito,3,270,Pagada
37,20260430,02.18.19 Am,Desayunos,Empanada de Queso,60,Transferencia Bancaria,3,180,Pagada
38,20260407,12.19.29 Pm,Desayunos,Empanada de Queso,60,Tarjeta de Crédito/Débito,3,180,Cancelada
39,20260408,05.59.28 Am,Bebidas Calientes,Café Americano,85,Transferencia Bancaria,2,170,Pagada
